Zeitstempel,Wie alt bist du?,Hast du bereits ein Haustier aus einem Tierheim adoptiert?,Welche Haustiere hast du in der Vergangenheit bereits aus einem Tierheim adoptiert?,"Kannst du dir vorstellen, künftig ein Haustier aus einem Tierheim zu adoptieren?",Hast du schon einmal ein Haustier bei einem Tierheim abgegeben?,"Könntest du dir vorstellen, ein Haustier an ein Tierheim abzugeben, wenn es die Umstände erfordern würden?",Warst du schon einmal ehrenamtlich engagiert?,Engagierst du dich ehrenamtlich?,Hast du Kinder?,Wie viele Kinder hast du?,Über welche Informationsquellen informierst du dich hauptsächlich?,Welche Informationsquelle nutzt du am häufigsten?,Welche Social-Media-Kanäle nutzt du?,Hattest du schon einmal ein Haustier?,Wie viel Erfahrung hast du im Umgang mit Haustieren?,"Was machst du, um Dein Haustier zu erziehen?",Unabhängig vom Thema Tier: Welche belastenden Lebenssituationen hast du bisher erlebt?,"Was waren die wichtigsten Gründe für deine Entscheidung, dein Tier abzugeben?",Wie hast du dich während des Abgabeprozesses gefühlt?,"Könntest du dir unter anderen Umständen vorstellen, erneut ein Tier zu adoptieren?",Wie wichtig ist dir eine flexible Zeiteinteilung bei ehrenamtlichen Tätigkeiten?,Zu welchen Zeiten könntest du dich ehrenamtlich engagieren?,"Was motiviert dich, ehrenamtlich aktiv zu sein?","Was hält dich aktuell davon ab, dich ehrenamtlich zu engagieren?",In welchem Bereich bist du/warst du ehrenamtlich tätig?
17.04.2026 14:19:39,35-44,3,"Katze, Kanninchen, Meerschweinchen",Ja,Keine,Vielleicht,Ja,Nein,Nein,Keine,"Google-Suche, Social Media, Print-Medien, Literatur",Social Media,"Instagram, Facebook, YouTube, Telegram, WhatsApp, Spotify",mehr als 3,4,"Ich schaue YouTube-Videos, Ich lese Bücher oder informiere mich im Internet, Ich trainiere selbst zu Hause, Ich nutze Belohnungen (Leckerlis, Lob), Ich hole mir Tipps von Freunden oder Familie","Umzug / Wohnungswechsel, Trennung / Scheidung, Zeitmangel (z. B. durch Arbeit), Finanzielle Probleme, Krankheit (eigene oder in der Familie), Allergie gegen Tiere, Tod eines Familienmitglieds, Überforderung im Alltag",Ich habe mein Tier nicht abgegeben,Ich habe mein Tier nicht abgegeben,"Ja, auf jeden Fall",5,Flexibel / je nach Bedarf,"Neue Erfahrungen sammeln, Gesellschaftliche Verantwortung übernehmen","Zeitmangel (Arbeit, Schule, Studium), Berufliche Belastung / Stress, Behinderung",
17.04.2026 14:33:54,45-50,Keine,keine,Vielleicht,Keine,Vielleicht,Ja,Ja,Nein,Keine,"Social Media, Digitale Medien / Verlagshäuser",Social Media,"Instagram, Facebook, YouTube, Telegram, WhatsApp",1,2,habe keins,"Umzug / Wohnungswechsel, Zeitmangel (z. B. durch Arbeit)",Es wurde kein Tier abgegeben,Es wurde kein Tier abgegeben,,4,,,,Kultur / Kunst / Musik
17.04.2026 14:35:02,25-34,Keine,,Vielleicht,Keine,Vielleicht,Ja,Nein,Nein,Keine,"Social Media, Foren, Abonnements von Blogs",Abonnements von Blogs,"Instagram, Mastodon",Keine,1,,"Umzug / Wohnungswechsel, Zeitmangel (z. B. durch Arbeit), Allergie gegen Tiere, Überforderung im Alltag",Es wurde kein Tier abgegeben,Es wurde kein Tier abgegeben,Vielleicht,4,"Wochentags nachmittags, Wochentags abends, Samstags, Sonntags","Tieren helfen und etwas Gutes tun, Sinnvolle Freizeitgestaltung, Gesellschaftliche Verantwortung übernehmen","Zeitmangel (Arbeit, Schule, Studium), Fehlende Informationen über Möglichkeiten, Berufliche Belastung / Stress, Entfernung / schlechte Erreichbarkeit",Kultur / Kunst / Musik
17.04.2026 14:41:26,35-44,1,Hund,Ja,Keine,Vielleicht,Ja,Ja,Ja,1,"Google-Suche, Social Media, Freundeskreis, Radio",Freundeskreis,"Instagram, Telegram, WhatsApp",mehr als 3,4,"Ich schaue YouTube-Videos, Ich nutze Belohnungen (Leckerlis, Lob), Ich hole mir Tipps von Freunden oder Familie","Umzug / Wohnungswechsel, Geburt eines Kindes, Überforderung im Alltag","Zeitmangel, Allergie, Krankheit (eigene oder im Umfeld), Verhaltensprobleme des Tieres, Überforderung",Es wurde kein Tier abgegeben,"Ja, auf jeden Fall",4,Flexibel / je nach Bedarf,Tieren helfen und etwas Gutes tun,"Zeitmangel (Arbeit, Schule, Studium)",Kultur / Kunst / Musik
17.04.2026 14:41:26,35-44,Keine,,Vielleicht,Keine,Nein,Ja,Nein,Nein,Keine,"Google-Suche, Freundeskreis, KI-Chatbots, Online-Magazine",Google-Suche,"Instagram, WhatsApp",2,3,"Ich schaue YouTube-Videos, Ich lese Bücher oder informiere mich im Internet, Ich trainiere selbst zu Hause, Ich nutze Belohnungen (Leckerlis, Lob)","Umzug / Wohnungswechsel, Zeitmangel (z. B. durch Arbeit), Allergie gegen Tiere, Tod eines Familienmitglieds",Es wurde kein Tier abgegeben,Es wurde kein Tier abgegeben,Vielleicht,4,"Wochentags abends, Samstags, Sonntags","Tieren helfen und etwas Gutes tun, Soziale Kontakte knüpfen, Sinnvolle Freizeitgestaltung, Neue Erfahrungen sammeln",Fokus auf berufliche Zukunft (Selbstständigkeit),Soziale Arbeit
17.04.2026 15:03:51,25-34,3,Katze,Vielleicht,Keine,Nein,Ja,Ja,Nein,Keine,"Google-Suche, Social Media, KI-Chatbots",KI-Chatbots,"Instagram, TikTok, YouTube, WhatsApp",3,4,Ich mache nichts Besonderes,"Umzug / Wohnungswechsel, Zeitmangel (z. B. durch Arbeit), Krankheit (eigene oder in der Familie), Probleme mit dem Verhalten des Tieres","Zeitmangel, Fehlende Betreuung (z. B. bei Urlaub oder Arbeit)",Schuldig,Eher nicht,4,Sonntags,Neue Erfahrungen sammeln,"Zeitmangel (Arbeit, Schule, Studium)","Sportverein, Kultur / Kunst / Musik"
17.04.2026 15:12:20,25-34,Keine,,Ja,Keine,Vielleicht,Nein,Nein,Nein,Keine,"Google-Suche, Social Media, Freundeskreis",Google-Suche,"Instagram, Facebook, YouTube",3,3,Ich mache nichts Besonderes,Das möchte ich nicht beantworten,Das möchte ich nicht beantworten,Es wurde kein Tier abgegeben,"Ja, wahrscheinlich",5,Flexibel / je nach Bedarf,"Soziale Kontakte knüpfen, Neue Erfahrungen sammeln","Zeitmangel (Arbeit, Schule, Studium), Berufliche Belastung / Stress, Gesundheitliche Gründe, Finanzielle Gründe (z. B. Fahrtkosten)",Ich war nicht ehrenamtlich tätig
17.04.2026 15:14:06,25-34,Keine,,Vielleicht,Keine,Vielleicht,Nein,Nein,Nein,Keine,"Google-Suche, Social Media, Freundeskreis",Social Media,"Instagram, Facebook, YouTube",mehr als 3,4,"Ich schaue YouTube-Videos, Ich lese Bücher oder informiere mich im Internet, Ich trainiere selbst zu Hause, Ich nutze Belohnungen (Leckerlis, Lob), Ich hole mir Tipps von Freunden oder Familie","Zeitmangel (z. B. durch Arbeit), Überforderung im Alltag",Es wurde kein Tier abgegeben,Es wurde kein Tier abgegeben,,4,"Wochentags abends, Samstags, Sonntags","Tieren helfen und etwas Gutes tun, Eigene Fähigkeiten einbringen, Neue Erfahrungen sammeln, Gesellschaftliche Verantwortung übernehmen","Zeitmangel (Arbeit, Schule, Studium), Fehlende Motivation",Ich war nicht ehrenamtlich tätig
17.04.2026 15:34:48,25-34,Keine,Kein,Nein,Keine,Ja,Ja,Nein,Nein,Keine,,KI-Chatbots,"Instagram, YouTube, Telegram, WhatsApp",Keine,3,"Ich schaue YouTube-Videos, Ich trainiere selbst zu Hause, Ich hole mir Tipps von Freunden oder Familie","Umzug / Wohnungswechsel, Finanzielle Probleme, Überforderung im Alltag",Hatte nicht!,Es wurde kein Tier abgegeben,Eher nicht,1,"Wochentags abends, Samstags","Soziale Kontakte knüpfen, Neue Erfahrungen sammeln","Zeitmangel (Arbeit, Schule, Studium), Berufliche Belastung / Stress, Entfernung / schlechte Erreichbarkeit, Finanzielle Gründe (z. B. Fahrtkosten)","Umwelt- und Naturschutz, Flüchtlingshilfe / Integration"
17.04.2026 15:38:20,60-70,Keine,,Vielleicht,Keine,Vielleicht,Nein,Nein,Ja,2,Freundeskreis,Freundeskreis,,mehr als 3,5,"Ich trainiere selbst zu Hause, Ich nutze Belohnungen (Leckerlis, Lob), Ich mache nichts Besonderes",Das möchte ich nicht beantworten,Es wurde kein Tier abgegeben,Es wurde kein Tier abgegeben,,,,,"Zeitmangel (Arbeit, Schule, Studium)",
